y,d,dx_star,dz_star,Kxx,Kxz,Kzx,Kzz
20775,65.5625,0.927333086254116,0.1227207762669358,2115.239711574019,257.0001834699847,257.0001834699847,15840.924852250148
20800,65.5,0.9273840422726866,0.12243911877094124,2115.154306519089,258.20438294144395,258.20438294144395,15872.705888611477
20825,65.4375,0.9274366631243788,0.12215751210609244,2115.0654015063556,259.41605999962843,259.41605999962843,15904.596048693124
20850,65.375,0.9274909524241292,0.1218759558785246,2114.9729924687285,260.63527113323005,260.63527113323005,15936.595850873942
20875,65.3125,0.9275469137246367,0.12159444969222441,2114.877075557775,261.8620733018946,261.8620733018946,15968.705816587668
20900,65.25,0.9276045505143214,0.12131299314903861,2114.777647148816,263.0965239398847,263.0965239398847,16000.926470343229
20925,65.1875,0.9276638662152721,0.12103158584871349,2114.6747038461717,264.3386809597495,264.3386809597495,16033.258339745218
20950,65.125,0.9277248641811647,0.12075022738892713,2114.5682424884953,265.5886027560127,265.5886027560127,16065.701955514445
20975,65.0625,0.9277875476950651,0.12046891736534403,2114.458260154188,266.8463482088596,266.8463482088596,16098.257851508639
21000,65.0,0.9278519199672564,0.12018765537157586,2114.344754166962,268.11197668783694,268.11197668783694,16130.926564743291
21025,64.9375,0.9279179841329359,0.11990644099929972,2114.227722101463,269.3855480555473,269.3855480555473,16163.708635412568
21050,64.875,0.9279857432499398,0.1196252738382478,2114.1071617890684,270.6671226713704,270.6671226713704,16196.604606910449
21075,64.8125,0.9280552002963579,0.11934415347624155,2113.983071323723,271.9567613951657,271.9567613951657,16229.61502585189
21100,64.75,0.9281263581681103,0.11906307949927884,2113.8554490679567,273.25452559098926,273.25452559098926,16262.740442094188
21125,64.6875,0.9281992196764168,0.1187820514915008,2113.724293658981,274.5604771307982,274.5604771307982,16295.981408758444
21150,64.625,0.9282737875453408,0.1185010690353207,2113.5896040149237,275.87467839819055,275.87467839819055,16329.338482251118
21175,64.5625,0.9283500644091227,0.11822013171138991,2113.451379341175,277.1971922921124,277.1971922921124,16362.812222285798
21200,64.5,0.928428052809515,0.11793923909870113,2113.3096191368786,278.5280822305507,278.5280822305507,16396.403191905018
21225,64.4375,0.9285077551931012,0.11765839077460942,2113.1643232015203,279.86741215428384,279.86741215428384,16430.111957502213
21250,64.375,0.9285891739084531,0.11737758631489921,2113.015491641703,281.2152465305612,281.2152465305612,16463.939088843857
21275,64.3125,0.9286723112032792,0.11709682529385769,2112.8631248779675,282.5716503568082,282.5716503568082,16497.885159091624
21300,64.25,0.9287571692215368,0.11681610728427062,2112.7072236518493,283.9366891643284,283.9366891643284,16531.950744824815
21325,64.1875,0.9288437500003928,0.11653543185755656,2112.5477890330058,285.3104290219876,285.3104290219876,16566.13642606272
21350,64.125,0.9289320554671534,0.11625479858374625,2112.384822426512,286.6929365398786,286.6929365398786,16600.442786287338
21375,64.0625,0.9290220874361769,0.11597420703164017,2112.218325580313,288.0842788730012,288.0842788730012,16634.870412465996
21400,64.0,0.9291138476055962,0.11569365676879732,2112.0483005927877,289.484523724901,289.484523724901,16669.41989507422
21425,63.9375,0.9292073375540528,0.11541314736168189,2111.8747499205133,290.89373935129913,290.89373935129913,16704.091828118708
21450,63.875,0.929302558737351,0.11513267837561236,2111.697676386144,292.3119945637262,292.3119945637262,16738.886809160405
21475,63.8125,0.9293995124849558,0.1148522493749763,2111.517083186482,293.73935873309756,293.73935873309756,16773.805439337688
21500,63.75,0.9294981999965055,0.11457185992323528,2111.33297390068,295.1759017933086,295.1759017933086,16808.84832338973
21525,63.6875,0.9295986223381931,0.11429150958301572,2111.1453524986396,296.62169424478293,296.62169424478293,16844.016069679885
21550,63.625,0.9297007804390345,0.11401119791619396,2110.954223349559,298.0768071579882,298.0768071579882,16879.309290219255
21575,63.5625,0.9298046750870944,0.11373092448398346,2110.7595912306533,299.54131217695584,299.54131217695584,16914.72860069041
21600,63.5,0.9299103069256296,0.11345068884706765,2110.5614613360676,301.0152815227332,301.0152815227332,16950.274620471122
21625,63.4375,0.9300176764490812,0.11317049056560158,2110.3598392859753,302.4987879968355,302.4987879968355,16985.94797265826
21650,63.375,0.9301267839989977,0.11289032919943418,2110.154731135813,303.9919049846241,303.9919049846241,17021.749284091842
21675,63.3125,0.9302376297599593,0.11261020430808016,2109.9461433857887,305.49470645871804,305.49470645871804,17057.67918537911
21700,63.25,0.9303502137551675,0.11233011545092783,2109.7340829904883,307.00726698224616,307.00726698224616,17093.73831091878
